,Season,Season Encoding,Date,YearOfSeason,YearOfSeason Encoding,HomeTeam,HomeTeam Encoding,AwayTeam,AwayTeam Encoding,FTHG,FTAG,FTR,FTR Encoding,HTHG,HTAG,HTR,Referee,Referee Encoding,Fouls Called Per Game,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
10,Fall,0,19/09/2020,2020/21,1,Man United,15,Crystal Palace,6,1.0,3.0,A,1,0.0,1.0,A,M Atkinson,16,13.0,13.0,14.0,4.0,5.0,13.0,10.0,9.0,3.0,2.0,1.0,0.0,0.0
11,Fall,0,19/09/2020,2020/21,1,Arsenal,0,West Ham,28,2.0,1.0,H,0,1.0,1.0,D,M Oliver,28,14.0,7.0,14.0,3.0,3.0,11.0,13.0,7.0,5.0,0.0,1.0,0.0,0.0
12,Fall,0,20/09/2020,2020/21,1,Southampton,21,Tottenham,25,2.0,5.0,A,1,1.0,1.0,D,D Coote,9,14.0,14.0,9.0,7.0,6.0,16.0,18.0,3.0,2.0,4.0,3.0,0.0,0.0
13,Fall,0,20/09/2020,2020/21,1,Newcastle,17,Brighton,3,0.0,3.0,A,1,0.0,2.0,A,K Friend,19,14.0,6.0,13.0,0.0,6.0,16.0,15.0,7.0,1.0,3.0,0.0,0.0,1.0
14,Fall,0,20/09/2020,2020/21,1,Chelsea,5,Liverpool,13,0.0,2.0,A,1,0.0,0.0,D,P Tierney,5,15.0,5.0,18.0,3.0,6.0,10.0,6.0,1.0,11.0,0.0,0.0,1.0,0.0
15,Fall,0,20/09/2020,2020/21,1,Leicester,12,Burnley,-1,4.0,2.0,H,0,1.0,1.0,D,L Mason,4,14.0,14.0,16.0,6.0,5.0,11.0,13.0,15.0,4.0,1.0,2.0,0.0,0.0
16,Fall,0,21/09/2020,2020/21,1,Aston Villa,-1,Sheffield United,20,1.0,0.0,H,0,0.0,0.0,D,G Scott,21,13.0,18.0,4.0,2.0,1.0,12.0,13.0,10.0,4.0,3.0,1.0,0.0,1.0
17,Fall,0,21/09/2020,2020/21,1,Wolves,29,Man City,14,1.0,3.0,A,1,0.0,2.0,A,A Marriner,14,13.0,10.0,14.0,1.0,9.0,6.0,8.0,4.0,6.0,0.0,3.0,0.0,0.0
18,Fall,0,26/09/2020,2020/21,1,Brighton,3,Man United,15,2.0,3.0,A,1,1.0,1.0,D,C Kavanagh,7,14.0,18.0,7.0,5.0,3.0,18.0,16.0,7.0,1.0,4.0,2.0,0.0,0.0
19,Fall,0,26/09/2020,2020/21,1,Crystal Palace,6,Everton,7,1.0,2.0,A,1,1.0,2.0,A,K Friend,19,14.0,8.0,10.0,1.0,5.0,16.0,15.0,7.0,6.0,3.0,1.0,0.0,0.0
20,Fall,0,26/09/2020,2020/21,1,West Brom,27,Chelsea,5,3.0,3.0,D,2,3.0,0.0,H,J Moss,27,14.0,9.0,22.0,3.0,10.0,8.0,16.0,3.0,9.0,1.0,3.0,0.0,0.0
21,Fall,0,26/09/2020,2020/21,1,Burnley,-1,Southampton,21,0.0,1.0,A,1,0.0,1.0,A,A Marriner,14,13.0,10.0,5.0,2.0,1.0,8.0,10.0,8.0,2.0,1.0,0.0,0.0,0.0
22,Fall,0,27/09/2020,2020/21,1,Sheffield United,20,Leeds,11,0.0,1.0,A,1,0.0,0.0,D,P Tierney,5,15.0,14.0,17.0,4.0,9.0,18.0,4.0,5.0,7.0,2.0,1.0,0.0,0.0
23,Fall,0,27/09/2020,2020/21,1,Tottenham,25,Newcastle,17,1.0,1.0,D,2,1.0,0.0,H,P Bankes,3,13.0,23.0,6.0,12.0,1.0,15.0,9.0,10.0,4.0,1.0,4.0,0.0,0.0
24,Fall,0,27/09/2020,2020/21,1,Man City,14,Leicester,12,2.0,5.0,A,1,1.0,1.0,D,M Oliver,28,14.0,16.0,7.0,5.0,7.0,13.0,8.0,3.0,4.0,1.0,3.0,0.0,0.0
25,Fall,0,27/09/2020,2020/21,1,West Ham,28,Wolves,29,4.0,0.0,H,0,1.0,0.0,H,M Atkinson,16,13.0,15.0,11.0,7.0,2.0,7.0,11.0,1.0,3.0,0.0,1.0,0.0,0.0
26,Fall,0,28/09/2020,2020/21,1,Fulham,8,Aston Villa,-1,0.0,3.0,A,1,0.0,2.0,A,S Attwell,11,14.0,16.0,12.0,3.0,5.0,18.0,14.0,5.0,3.0,6.0,3.0,0.0,0.0
27,Fall,0,28/09/2020,2020/21,1,Liverpool,13,Arsenal,0,3.0,1.0,H,0,2.0,1.0,H,C Pawson,25,15.0,21.0,4.0,8.0,3.0,11.0,7.0,7.0,3.0,2.0,2.0,0.0,0.0
28,Fall,0,03/10/2020,2019/20,2,Chelsea,5,Crystal Palace,6,4.0,0.0,H,0,0.0,0.0,D,M Oliver,28,14.0,17.0,4.0,6.0,0.0,17.0,13.0,8.0,5.0,2.0,0.0,0.0,0.0
29,Fall,0,03/10/2020,2019/20,2,Everton,7,Brighton,3,4.0,2.0,H,0,2.0,1.0,H,S Hooper,0,14.0,11.0,11.0,6.0,3.0,13.0,14.0,3.0,10.0,0.0,1.0,0.0,0.0
30,Fall,0,03/10/2020,2019/20,2,Leeds,11,Man City,14,1.0,1.0,D,2,0.0,1.0,A,M Dean,23,14.0,12.0,23.0,7.0,2.0,11.0,12.0,7.0,10.0,2.0,1.0,0.0,0.0
31,Fall,0,03/10/2020,2019/20,2,Newcastle,17,Burnley,-1,3.0,1.0,H,0,1.0,0.0,H,D Coote,9,14.0,10.0,7.0,5.0,3.0,13.0,17.0,3.0,4.0,2.0,3.0,0.0,0.0
32,Fall,0,04/10/2020,2019/20,2,Leicester,12,West Ham,28,0.0,3.0,A,1,0.0,2.0,A,A Madley,20,15.0,4.0,14.0,0.0,6.0,11.0,8.0,6.0,4.0,2.0,2.0,0.0,0.0
33,Fall,0,04/10/2020,2019/20,2,Southampton,21,West Brom,27,2.0,0.0,H,0,1.0,0.0,H,C Kavanagh,7,14.0,13.0,5.0,7.0,2.0,19.0,10.0,5.0,1.0,2.0,1.0,0.0,0.0
34,Fall,0,04/10/2020,2019/20,2,Arsenal,0,Sheffield United,20,2.0,1.0,H,0,0.0,0.0,D,L Mason,4,14.0,6.0,6.0,5.0,2.0,3.0,9.0,2.0,4.0,0.0,1.0,0.0,0.0
35,Fall,0,04/10/2020,2019/20,2,Wolves,29,Fulham,8,1.0,0.0,H,0,0.0,0.0,D,D England,22,14.0,14.0,10.0,5.0,2.0,15.0,8.0,6.0,2.0,1.0,1.0,0.0,0.0
36,Fall,0,04/10/2020,2019/20,2,Man United,15,Tottenham,25,1.0,6.0,A,1,1.0,4.0,A,A Taylor,10,15.0,5.0,22.0,2.0,8.0,14.0,10.0,2.0,4.0,2.0,1.0,1.0,0.0
37,Fall,0,04/10/2020,2019/20,2,Aston Villa,-1,Liverpool,13,7.0,2.0,H,0,4.0,1.0,H,M Atkinson,16,13.0,18.0,14.0,11.0,8.0,7.0,10.0,2.0,7.0,2.0,1.0,0.0,0.0
38,Fall,0,17/10/2020,2020/21,1,Everton,7,Liverpool,13,2.0,2.0,D,2,1.0,1.0,D,M Oliver,28,14.0,11.0,22.0,5.0,8.0,15.0,9.0,2.0,5.0,3.0,2.0,1.0,0.0
39,Fall,0,17/10/2020,2020/21,1,Chelsea,5,Southampton,21,3.0,3.0,D,2,2.0,1.0,H,P Bankes,3,13.0,11.0,13.0,5.0,6.0,11.0,9.0,6.0,2.0,1.0,1.0,0.0,0.0
40,Fall,0,17/10/2020,2020/21,1,Man City,14,Arsenal,0,1.0,0.0,H,0,1.0,0.0,H,C Kavanagh,7,14.0,13.0,11.0,5.0,3.0,15.0,10.0,6.0,6.0,4.0,1.0,0.0,0.0
